"","easy.time","easy.time2","batvalue","latitude","longitude"
"247",2018-02-16 05:25:58,"2018-02-16 05:25:58",100,40.4415247071805,-79.9198441710872
"248",2018-02-16 05:28:58,"2018-02-16 05:28:58",100,40.4415219917475,-79.9198475089445
"249",2018-02-16 05:31:58,"2018-02-16 05:31:58",100,40.441521979501,-79.9198475438535
"250",2018-02-16 05:34:58,"2018-02-16 05:34:58",100,40.441521968643,-79.919847574803
"251",2018-02-16 05:37:58,"2018-02-16 05:37:58",100,40.441521958993,-79.919847602311
"252",2018-02-16 05:40:58,"2018-02-16 05:40:58",100,40.441524679385,-79.9198442503178
"253",2018-02-16 05:40:58,"2018-02-16 05:40:58",100,40.441524679385,-79.9198442503178
"254",2018-02-16 05:43:58,"2018-02-16 05:43:58",100,40.44152194278,-79.919847648525
"255",2018-02-16 05:46:58,"2018-02-16 05:46:58",100,40.441521935926,-79.919847668063
"256",2018-02-16 05:49:58,"2018-02-16 05:49:58",100,40.4415219297385,-79.9198476857005
"257",2018-02-16 05:52:58,"2018-02-16 05:52:58",100,40.4415219241325,-79.91984770168
"258",2018-02-16 05:55:58,"2018-02-16 05:55:58",100,40.4415246637002,-79.9198442950265
"259",2018-02-16 05:55:58,"2018-02-16 05:55:58",100,40.4415246637002,-79.9198442950265
"260",2018-02-16 05:58:58,"2018-02-16 05:58:58",100,40.4415219145045,-79.919847729124
"261",2018-02-16 06:01:58,"2018-02-16 06:01:58",100,40.4415219103475,-79.919847740973
"262",2018-02-16 06:04:58,"2018-02-16 06:04:58",100,40.441521906565,-79.919847751755
"263",2018-02-16 06:07:58,"2018-02-16 06:07:58",100,40.4415219031185,-79.9198477615795
"264",2018-02-16 06:10:58,"2018-02-16 06:10:58",100,40.44152854059,-79.9198618872755
"265",2018-02-16 06:10:58,"2018-02-16 06:10:58",100,40.44152854059,-79.9198618872755
"266",2018-02-16 06:13:58,"2018-02-16 06:13:58",100,40.441530253994,-79.919881704707
"267",2018-02-16 06:16:58,"2018-02-16 06:16:58",100,40.4415302518605,-79.9198817090975
